worker,ep,total_ep,scenario,rank,score,win_rate_pct,eps,step,elapsed_s
1,4,100,pfsp,2,341.2,0,0.077,86802,8.0
1,5,100,pfsp,3,284.3,0,0.076,87097,10.0
1,6,100,pfsp,1,566.3,17,0.075,87361,12.0
1,7,100,boss_mode_trio,3,425.7,14,0.075,87720,13.0
1,8,100,pfsp,3,263.9,12,0.074,88011,16.0
1,9,100,pfsp,2,240.9,11,0.074,88272,21.0
1,10,100,pure_rule,4,36.9,10,0.073,88293,22.0
1,11,100,boss_mode_trio,4,332.9,9,0.072,88624,28.0
1,12,100,boss_mode_trio,1,670.0,17,0.072,89025,35.0
1,13,100,boss_mode_solo,2,426.3,15,0.071,89390,40.0
1,14,100,boss_mode_solo,2,144.2,14,0.071,89584,41.0
1,15,100,pfsp,3,76.6,13,0.07,89752,42.0
1,16,100,pfsp,3,242.3,12,0.069,90027,43.0
1,17,100,pfsp,5,105.0,12,0.069,90229,44.0
1,18,100,pfsp,2,352.8,11,0.068,90559,51.0
1,19,100,boss_mode_trio,4,196.1,11,0.068,90822,56.0
1,20,100,pure_rule,1,162.1,15,0.067,90844,56.0
1,21,100,boss_mode_trio,4,220.9,14,0.067,91105,57.0
1,22,100,boss_mode_solo,2,315.1,14,0.066,91408,59.0
1,23,100,pfsp,4,204.7,13,0.066,91657,60.0
1,24,100,pfsp,1,263.7,17,0.065,91845,61.0
1,25,100,pfsp,2,331.4,16,0.065,92161,68.0
1,26,100,pfsp,2,185.5,15,0.064,92418,74.0
1,27,100,pfsp,3,199.6,15,0.064,92666,81.0
1,28,100,boss_mode_solo,2,173.0,14,0.063,92898,84.0
1,29,100,pfsp,1,765.0,17,0.063,93299,91.0
1,30,100,pure_rule,1,312.6,20,0.062,93526,96.0
1,31,100,boss_mode_solo,1,655.0,23,0.062,93927,108.0
1,32,100,boss_mode_trio,4,159.7,22,0.061,94176,116.0
1,33,100,boss_mode_solo,2,363.1,21,0.061,94509,128.0
1,34,100,pfsp,4,195.8,21,0.06,94769,134.0
