worker,ep,total_ep,rank,score,win_rate_pct,eps,step,elapsed_s,scenario
0,80,100,1,675.0,6,0.093,79029,161.0,
0,81,100,2,229.1,6,0.092,79272,166.0,
0,82,100,1,443.8,7,0.091,79561,174.0,
0,83,100,4,104.7,7,0.091,79760,181.0,
0,84,100,2,345.3,7,0.09,80065,182.0,
0,85,100,2,277.3,7,0.089,80340,184.0,
0,86,100,3,71.5,7,0.088,80382,184.0,
0,87,100,3,345.9,7,0.088,80743,185.0,
0,88,100,2,316.8,7,0.087,81063,189.0,
0,89,100,4,100.1,7,0.086,81116,191.0,
0,90,100,4,51.5,7,0.086,81133,191.0,
0,91,100,3,403.6,7,0.085,81471,194.0,
0,92,100,2,620.0,7,0.084,81872,202.0,
0,93,100,2,467.7,6,0.084,82251,211.0,
0,94,100,2,309.5,6,0.083,82548,220.0,
0,95,100,2,278.7,6,0.082,82687,224.0,
0,96,100,1,362.1,7,0.082,82809,230.0,
0,97,100,4,188.4,7,0.081,83045,233.0,
0,98,100,1,584.3,8,0.08,83339,234.0,
0,99,100,4,111.3,8,0.08,83554,235.0,
0,100,100,2,715.0,8,0.079,83955,237.0,
1,58,100,4,200.4,14,0.111,75035,161.0,
1,59,100,2,280.4,14,0.11,75291,163.0,
1,60,100,2,665.0,13,0.109,75692,171.0,
1,61,100,2,620.0,13,0.108,76093,173.0,
1,62,100,3,258.7,13,0.107,76382,178.0,
1,63,100,3,256.3,13,0.106,76647,179.0,
1,64,100,1,569.2,14,0.106,76990,181.0,
1,65,100,3,224.7,14,0.105,77239,189.0,
1,66,100,3,362.0,14,0.104,77561,197.0,
1,67,100,3,204.5,13,0.103,77808,201.0,
1,68,100,4,212.5,13,0.102,78085,202.0,
1,69,100,3,230.9,13,0.101,78346,203.0,
1,70,100,3,248.8,13,0.101,78636,205.0,
1,71,100,1,655.0,14,0.1,79037,206.0,
1,72,100,2,257.1,14,0.099,79310,207.0,
1,73,100,3,162.5,14,0.098,79537,208.0,
1,74,100,4,273.3,14,0.097,79822,210.0,
1,75,100,2,750.0,13,0.097,80223,218.0,
1,76,100,1,350.1,14,0.096,80475,219.0,
1,77,100,2,197.3,14,0.095,80700,220.0,
1,78,100,3,131.5,14,0.094,80917,221.0,
1,79,100,4,162.5,14,0.094,81144,222.0,
1,80,100,1,181.6,15,0.093,81161,223.0,
1,81,100,2,408.4,15,0.092,81497,228.0,
1,82,100,2,425.8,15,0.091,81857,230.0,
1,83,100,2,565.0,14,0.091,82258,234.0,
1,84,100,2,160.5,14,0.09,82465,235.0,
1,85,100,4,310.3,14,0.089,82770,236.0,
1,86,100,3,246.6,14,0.088,83038,237.0,
1,87,100,3,149.8,14,0.088,83238,238.0,
1,88,100,2,223.2,14,0.087,83472,239.0,
1,89,100,2,715.0,13,0.086,83873,240.0,
1,90,100,3,33.2,13,0.086,83907,240.0,
